x,y,arg
5.2028513,-5.2594643,1
-1.3832273,-1.4176025,1
5.265294,0.3956075,2
16.14292,-3.0744307,2
-7.679224,13.507811,0
7.8877563,-18.23935,0
8.012453,7.5687046,2
19.148018,14.648801,0
1.8422862,7.855965,0
8.004089,0.28076422,0
8.790628,8.204597,2
19.273201,14.498277,0
-7.719703,-10.502697,1
13.415541,-14.426012,1
3.9534614,-0.58814216,2
16.549904,8.940659,2
-3.0629604,23.26573,0
6.496345,1.7825869,2
-2.3085294,11.981016,2
-6.7415,-3.6368804,0
11.186944,15.82799,2
-2.122421,8.121641,1
-9.772396,20.950462,0
7.7399487,0.9055763,0
3.606413,16.255106,2
19.287556,11.671816,1
-3.7552524,20.488628,0
5.5425687,21.030554,0
3.3858025,19.35829,0
3.3275695,10.515256,0
13.207561,8.001823,2
16.327585,15.075442,0
-10.773126,12.830005,0
7.8475633,0.7169649,0
3.592364,16.34028,2
19.458862,11.361479,2
-13.16154,0.76226515,2
3.21545,13.47867,0
-8.085465,-8.298058,1
15.295351,-9.3443575,1
3.8736212,0.0089468565,2
23.256048,1.4051917,0
-8.17056,8.987208,2
-9.192225,12.949783,0
-8.053944,-5.4301233,1
4.4999537,7.2827554,1
4.1530085,-2.6764488,1
-0.80225396,0.5513116,2
21.301752,0.411013,1
-7.9933796,18.161276,0
8.295588,19.942245,0
15.910787,1.2775236,0
8.775219,17.381258,0
13.011076,7.895377,2
16.272339,15.129829,2
-7.2141833,-6.0213137,1
4.473338,6.359261,1
4.3972144,-2.747341,1
-0.73290026,0.4540063,2
21.52056,0.03147987,1
5.049413,2.1866128,2
0.582656,12.343328,0
0.34029824,6.13198,2
0.36147028,8.020501,0
-11.736071,2.2307315,1
-4.760837,-3.166485,1
3.9614925,-0.5139885,2
15.551465,6.2657933,0
-4.00066,20.757416,0
10.425422,1.6670327,0
3.4074984,16.899347,0
10.086623,13.28423,2
19.941576,9.301854,2
-8.801993,1.8946674,1
4.569883,5.987302,1
10.607856,-4.684592,1
1.782578,2.9327428,2
21.60988,-0.025554696,1
-13.770427,10.833886,2
-10.0795,7.042664,0
-11.110636,5.0300245,0
0.60902435,-11.382718,2
-2.6420114,7.148639,1
6.041154,2.2124033,2
8.228233,11.673049,0
-9.7159195,21.007418,0
-4.310853,11.525191,0
7.984611,7.576556,2
23.469849,9.308116,2
-5.898961,18.692175,0
7.9570513,0.39210248,0
8.695726,7.809622,2
-1.3353119,9.6277485,1
-4.4918833,9.997323,2
3.0933838,22.137623,0
-1.6397668,1.5100954,1
12.985661,-1.4690353,2
-1.3624971,11.519866,0
-10.320691,0.19994265,2
0.29736432,11.021001,0
-6.6436763,13.052604,0
9.829537,1.0984467,0
3.473952,16.807186,0
10.402823,13.074765,2
19.923845,9.325323,0
